Country Name	Country Code	Series Name	Series Code	2011
Costa Rica	CRI	Account used to receive wages (% age 15+)	GFDD.AI.11	27.63593
Cote d'Ivoire	CIV	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Cote d'Ivoire	CIV	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Cote d'Ivoire	CIV	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Cote d'Ivoire	CIV	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Croatia	HRV	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	86.313
Croatia	HRV	Account used to receive government payments (% age 15+)	GFDD.AI.09	9.774927
Croatia	HRV	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.661405
Croatia	HRV	Account used to receive wages (% age 15+)	GFDD.AI.11	33.20503
Cuba	CUB	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Cuba	CUB	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Cuba	CUB	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Cuba	CUB	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Curacao	CUW	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Curacao	CUW	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Curacao	CUW	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Curacao	CUW	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Cyprus	CYP	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	82.14801
Cyprus	CYP	Account used to receive government payments (% age 15+)	GFDD.AI.09	36.56022
Cyprus	CYP	Account used to receive remittances (% age 15+)	GFDD.AI.10	7.776518
Cyprus	CYP	Account used to receive wages (% age 15+)	GFDD.AI.11	27.81137
Czech Republic	CZE	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	80.23305
Czech Republic	CZE	Account used to receive government payments (% age 15+)	GFDD.AI.09	9.792462
Czech Republic	CZE	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.257847
Czech Republic	CZE	Account used to receive wages (% age 15+)	GFDD.AI.11	53.07729
Denmark	DNK	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	99.22822
Denmark	DNK	Account used to receive government payments (% age 15+)	GFDD.AI.09	72.54152
Denmark	DNK	Account used to receive remittances (% age 15+)	GFDD.AI.10	33.89663
Denmark	DNK	Account used to receive wages (% age 15+)	GFDD.AI.11	67.4039
Djibouti	DJI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	9.873396
Djibouti	DJI	Account used to receive government payments (% age 15+)	GFDD.AI.09	5.802908
Djibouti	DJI	Account used to receive remittances (% age 15+)	GFDD.AI.10	3.080104
Djibouti	DJI	Account used to receive wages (% age 15+)	GFDD.AI.11	4.778826
Dominica	DMA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Dominica	DMA	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Dominica	DMA	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Dominica	DMA	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Dominican Republic	DOM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	34.22816
Dominican Republic	DOM	Account used to receive government payments (% age 15+)	GFDD.AI.09	6.877079
Dominican Republic	DOM	Account used to receive remittances (% age 15+)	GFDD.AI.10	8.540314
Dominican Republic	DOM	Account used to receive wages (% age 15+)	GFDD.AI.11	15.43991
Ecuador	ECU	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	34.8469
Ecuador	ECU	Account used to receive government payments (% age 15+)	GFDD.AI.09	4.573496
Ecuador	ECU	Account used to receive remittances (% age 15+)	GFDD.AI.10	3.680939
Ecuador	ECU	Account used to receive wages (% age 15+)	GFDD.AI.11	16.02006
"Egypt, Arab Rep."	EGY	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	6.154168
"Egypt, Arab Rep."	EGY	Account used to receive government payments (% age 15+)	GFDD.AI.09	1.961266
"Egypt, Arab Rep."	EGY	Account used to receive remittances (% age 15+)	GFDD.AI.10	0.7055439
"Egypt, Arab Rep."	EGY	Account used to receive wages (% age 15+)	GFDD.AI.11	0.9345841
El Salvador	SLV	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	13.20928
El Salvador	SLV	Account used to receive government payments (% age 15+)	GFDD.AI.09	3.039248
El Salvador	SLV	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.51349
El Salvador	SLV	Account used to receive wages (% age 15+)	GFDD.AI.11	5.760712
Equatorial Guinea	GNQ	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Equatorial Guinea	GNQ	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Equatorial Guinea	GNQ	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
