Country,Time,Unit,Data Source,Status,Scale,"Interest Rates, Government Securities, Government Bonds","Interest Rates, Government Securities, Government Bonds, Short-term","Interest Rates, Government Securities, Government Bonds, Medium- and Long-term"
Iceland,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.879423105,,
Iceland,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.73029353333333,,
Iceland,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.3173818525,,
Iceland,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.96211657,,
Iceland,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.300186665,,
Iceland,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.29952465416667,,
Iceland,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.49332216083333,,
Iceland,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.94615757,,
Iceland,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.27898126666667,,
Iceland,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.55166666666667,,
Ireland,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.07666666666667,,
Ireland,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.32916666666667,,
Ireland,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.765,,
Ireland,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.30583333333333,,
Ireland,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.52583333333333,,
Ireland,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.225,,
Ireland,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.73916666666667,,
Ireland,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,9.60166666666667,,
Ireland,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.17166666666667,,
Ireland,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.79,,
Italy,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.25833333333333,,3.33917833333333
Italy,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.55583333333333,,2.90110333333333
Italy,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.0475,,3.710395
Italy,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.48731583333333,,4.27399416666667
Italy,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.68114916666667,,4.2859325
Italy,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.31333333333333,,3.165
Italy,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.03583333333334,,2.9
Italy,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.42416666666667,,4.6775
Italy,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.4925,,4.5125
Italy,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.31666666666667,,3.1051825
Japan,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.49916666666667,,
Japan,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.35958333333333,,
Japan,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.73125,,
Japan,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.65291666666667,,
Japan,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.44916666666667,,
Japan,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.3425,,
Japan,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.15083333333333,,
Japan,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.11833333333333,,
Japan,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,0.839166666666667,,
Japan,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,0.700416666666667,,
"Korea, Republic of",2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.45333333333333,,
"Korea, Republic of",2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.6625,,
"Korea, Republic of",2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.06583333333333,,
"Korea, Republic of",2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.42916666666667,,
"Korea, Republic of",2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.79083333333333,,
"Korea, Republic of",2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.10083333333333,,
"Korea, Republic of",2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.58583333333333,,
"Korea, Republic of",2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.10583333333333,,
"Korea, Republic of",2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.43333333333333,,
"Korea, Republic of",2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.16483333333333,,
Latvia,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.8575,,
Latvia,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.875,,
Latvia,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.13333333333333,,
Latvia,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.2825,,
Latvia,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.43166666666667,,
Latvia,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,12.3475,,
Latvia,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,10.3366666666667,,
Latvia,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.9075,,
Latvia,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.565,,
Latvia,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.34,,
Lithuania,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.5025,,
Lithuania,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.69833333333333,,
Lithuania,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.08083333333333,,
Lithuania,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.54583333333333,,
Lithuania,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.6075,,
Lithuania,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,14.0041666666667,,
Lithuania,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.56666666666667,,
Lithuania,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.16,,
Lithuania,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.83083333333333,,
Lithuania,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.83178571428571,,
Luxembourg,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.84416666666667,,
Luxembourg,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.41416666666667,,
Luxembourg,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.30333333333333,,
Luxembourg,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.46083333333333,,
Luxembourg,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.6075,,
Luxembourg,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.22916666666667,,
Luxembourg,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.1675,,
Luxembourg,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.92333333333333,,
Luxembourg,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.75333333333333,,
