Country,Concept,Unit,Data Source,Status,Scale,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
New Zealand,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.97885,5.97595833333333,6.00769166666667,6.80758333333333,6.16943333333333,4.660375,4.8554,4.02035833333333,3.11284754004577,3.51852298256346
Nicaragua,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Nigeria,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,0,0,0,0,0,0,
Norway,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.6,3.28,3.93416666666667,4.78083333333333,4.34666666666667,3.31583333333333,2.77083333333333,2.55666666666666,1.57416666666667,1.91916666666667
Oman,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,0,0,0,0,0,0,0
Pakistan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,3177000000,4658000000,4817000000,5241000000,5494000000,5747000000,5698000000,6308000000,7027000000,8166000000
Pakistan,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.63016666666667,6.19175,8.46916666666667,9.50083333333333,11.66,12.725,13.04532,13.3644583333333,11.7272166666667,
Papua New Guinea,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,,7.995,8.17,8.42166666666667,9.23833333333333,11.66,10.8629166666667,8.945375,9.06083333333334,8.13166666666667
Paraguay,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Philippines,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Philippines,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.27,8.66,7.38375,5.34025,,,,,,
Poland,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.89666666666667,5.21833333333333,5.23166666666667,5.48416666666667,6.07166666666667,6.12,5.78166666666667,5.95583333333333,5,4.03361111111111
Portugal,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.14333333333333,3.4375,3.915,4.42416666666667,4.5225,4.21083333333333,5.39583333333333,10.2408333333333,10.5475,6.29416666666667
Qatar,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Romania,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Romania,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,,,7.23,7.13833333333333,7.69583333333333,9.69416666666667,7.33666666666667,6.65083333333333,5.68583333333333,4.24833333333333
Russian Federation,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Russian Federation,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,,7.84333333333333,6.735,6.5225,7.53416666666667,10.0566666666667,7.56833333333334,7.71,,
Samoa,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Samoa,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.5,13.5,13.5,,,,,,,
Sao Tome and Principe,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
"Serbia, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Seychelles,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Seychelles,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.58,6,6.89,7.13888888888889,7.32,8.75,8.0625,9,,
Sierra Leone,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Singapore,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.23416666666667,2.91666666666667,3.36,2.8775,2.77666666666667,2.3675,2.37333333333333,2.09166666666667,1.4575,2.06416666666667
Slovak Republic,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.02583333333333,3.52166666666667,4.41166666666667,4.49083333333333,4.72333333333333,4.70666666666667,3.87166666666667,4.415,4.5525,3.1875
Slovenia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.68333333333333,3.80666666666667,3.85333333333333,4.52916666666667,4.60666666666667,4.375,3.8325,4.97083333333333,5.80833333333333,5.81166666666667
Solomon Islands,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Solomon Islands,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.59653840604769,2.99353791211355,3.24353791211355,3.24117930403785,3.24,3.24,3.24,3.24,3.24,3.24
South Africa,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
South Africa,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.52666666666667,8.06666666666667,7.9375,7.985,9.1,8.70333333333333,8.615,8.52,7.9,7.7225
South Sudan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,,,,,0,0,0
Spain,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.10333333333333,3.3875,3.785,4.3075,4.36666666666667,3.97916666666667,4.25083333333333,5.44,5.845,4.56166666666666
St. Kitts and Nevis,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
St. Lucia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Sudan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Suriname,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,20300000,28600000,26500000,23600000,20000000,18000000,17941000,22779140,13944000,17343000
Swaziland,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Sweden,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.425,3.38333333333333,3.705,4.1675,3.88833333333333,3.25,2.89333333333333,2.60583333333333,1.5925,2.12
Switzerland,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.38,1.96,2.49,3.11,2.15,1.97,1.67,0.74,0.56,1.25
Syrian Arab Republic,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,,0,0,0,,,
Tajikistan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Tanzania,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Thailand,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,27619000000,28442000000,32532000000,35707000000,38664000000,40675000000,43348000000,46953000000,50864000000,54322000000
Thailand,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.86219905226039,5.00166666666667,5.385,4.59583333333333,4.5575,3.905,3.60416666666667,3.69333333333333,3.53333333333333,3.79964912878788
